lot_id	wafer_id	hold	date	product_id	hold_type
SN99E9R	3	PE HOLD	6/1/2023 0:00	KSDL	SBL
SN16J7V	22	PE HOLD	5/18/2022 0:00	KSDL	Map
SN81M7S	20	PIE HOLD	3/15/2023 0:00	KELK	Map
SN41O02	13	PE HOLD	10/16/2022 0:00	IEKW	SBL
SN43KDF	16	DISPO	1/10/2022 0:00	BLUD	Map
SN68EKZ	12	PIE HOLD	4/29/2022 0:00	BLUD	SBL
SN42Y4V	25	DISPO	4/28/2023 0:00	KSLE	Map
SN61LZF	5	PIE HOLD	4/6/2023 0:00	KSDL	Map
SN17K5T	23	PE HOLD	8/22/2022 0:00	SLFU	Map
SN36AEJ	25	QA HOLD	5/17/2023 0:00	SLFU	SBL
SN88M1K	21	DISPO	3/1/2022 0:00	KSDL	SBL
SN50IFL	11	PE HOLD	4/29/2023 0:00	KSDL	Map
SN44LAW	18	PE HOLD	7/4/2022 0:00	KEKS	Map
SN16XF2	9	PE HOLD	9/21/2022 0:00	KDSD	Map
SN91C95	14	QA HOLD	9/17/2022 0:00	KDSD	Map
SN22GA6	9	DISPO	1/26/2023 0:00	UX2M	SBL
SN38OIA	16	DISPO	5/27/2023 0:00	KEKS	Map
SN10PCF	5	QA HOLD	12/22/2022 0:00	XLFU	SBL
SN19QXU	24	PE HOLD	10/16/2022 0:00	SLFU	Map
SN12B4E	24	PE HOLD	12/30/2022 0:00	KEKS	SBL
SN87K6M	17	PE HOLD	10/28/2022 0:00	KSDL	SBL
SN23M5T	5	PE HOLD	6/6/2022 0:00	KELK	Map
SN14WO6	2	PE HOLD	2/19/2023 0:00	XLFU	Map
SN61UJD	8	QA HOLD	6/6/2023 0:00	KSDL	Map
SN31FWG	25	PE HOLD	1/29/2022 0:00	BLUD	SBL
SN52KWV	7	PE HOLD	6/18/2022 0:00	KEKS	SBL
SN38TCF	24	PE HOLD	3/24/2022 0:00	IEKW	Map
SN57VV2	5	DISPO	3/1/2023 0:00	DTLS	SBL
SN69XMK	9	QA HOLD	8/19/2022 0:00	UX2M	SBL
SN89TBQ	20	DISPO	1/16/2022 0:00	KSLE	Map
SN36J6H	1	DISPO	8/30/2022 0:00	KSLE	SBL
SN46W9E	9	DISPO	5/12/2023 0:00	XLFU	Map
SN34WCK	5	PE HOLD	4/18/2023 0:00	KSDL	SBL
SN57TCX	9	QA HOLD	4/22/2023 0:00	UFLU	SBL
SN39HJZ	20	PIE HOLD	1/21/2023 0:00	BLUD	Map
SN96XU7	19	DISPO	10/15/2022 0:00	UFLU	Map
SN64PEC	5	PIE HOLD	2/12/2023 0:00	UFLU	SBL
SN82TH2	25	PIE HOLD	1/14/2022 0:00	KEKS	Map
SN12EVD	24	QA HOLD	6/4/2022 0:00	IEKW	SBL
SN39Z1S	9	QA HOLD	4/5/2022 0:00	BLUD	Map
SN76VRI	9	PIE HOLD	2/3/2023 0:00	UMXS	SBL
SN84CA7	9	QA HOLD	4/17/2023 0:00	KEKS	Map
SN16QCK	12	PE HOLD	7/27/2022 0:00	SFSK	Map
SN12LKQ	1	QA HOLD	4/30/2022 0:00	BLUD	Map
SN96I4O	3	PE HOLD	10/4/2022 0:00	XLFU	Map
SN80R1S	18	DISPO	3/3/2023 0:00	BLUD	SBL
SN26UBT	9	QA HOLD	4/9/2022 0:00	KELK	Map
SN59LJS	16	PIE HOLD	1/18/2023 0:00	UFLU	Map
SN26UMB	23	QA HOLD	3/25/2023 0:00	UFLU	Map
SN13FXC	24	DISPO	1/11/2023 0:00	KELK	Map
SN33CM9	12	DISPO	1/27/2022 0:00	IEKW	SBL
SN90PJA	17	QA HOLD	9/14/2022 0:00	UFLU	Map
SN55IFY	24	QA HOLD	1/12/2022 0:00	KSDL	SBL
SN50U51	1	DISPO	7/27/2022 0:00	IEKW	SBL
SN52R42	9	PIE HOLD	5/12/2023 0:00	UX2M	SBL
SN90EGT	7	DISPO	5/13/2022 0:00	KSDL	SBL
SN39AQI	20	PE HOLD	1/6/2023 0:00	KELK	Map
SN36BVI	25	PE HOLD	6/22/2022 0:00	IEKW	Map
SN94YGJ	22	PIE HOLD	4/22/2022 0:00	KEKS	Map
SN27MLY	3	PIE HOLD	1/30/2023 0:00	KSDL	Map
SN10Z8K	21	PE HOLD	5/10/2022 0:00	BLUD	Map
SN93CLH	20	PE HOLD	12/14/2022 0:00	UX2M	SBL
SN88ISW	6	PIE HOLD	10/23/2022 0:00	UMXS	SBL
SN11XAG	19	DISPO	5/21/2022 0:00	DTLS	Map
SN37ZMV	23	DISPO	2/5/2023 0:00	KEKS	Map
SN60Z48	15	QA HOLD	4/22/2023 0:00	UX2M	Map
SN44P0F	14	PE HOLD	9/24/2022 0:00	KELK	Map
SN24UGZ	25	PIE HOLD	3/19/2022 0:00	KELK	SBL
SN17D6F	10	QA HOLD	10/11/2022 0:00	UFLU	SBL
SN95BEI	13	QA HOLD	2/7/2022 0:00	SFSK	Map
SN25GKM	14	DISPO	4/25/2022 0:00	DTLS	SBL
SN45UYM	19	QA HOLD	2/10/2023 0:00	KDSD	Map
SN38Z6W	25	DISPO	1/7/2023 0:00	KSDL	Map
SN19SBZ	16	PE HOLD	5/18/2023 0:00	UMXS	Map
SN26MEJ	1	DISPO	5/14/2022 0:00	KEKS	SBL
SN37SQR	20	QA HOLD	11/19/2022 0:00	KSLE	SBL
SN44JF4	14	DISPO	1/22/2022 0:00	KELK	Map
SN17N2F	3	PIE HOLD	5/18/2022 0:00	KSLE	SBL
SN91A7X	8	PIE HOLD	11/16/2022 0:00	KSLE	Map
SN88C74	9	PE HOLD	11/29/2022 0:00	KDSD	Map
SN44U5O	5	QA HOLD	1/24/2022 0:00	BLUD	Map
SN71KDY	22	PIE HOLD	2/21/2022 0:00	BLUD	SBL
SN74V1I	11	PIE HOLD	9/7/2022 0:00	UMXS	Map
SN11CUV	21	DISPO	4/16/2023 0:00	UMXS	Map
SN48IWD	1	QA HOLD	10/1/2022 0:00	SFSK	Map
SN46HSW	11	PE HOLD	10/28/2022 0:00	SFSK	Map
SN72DOU	3	PE HOLD	8/22/2022 0:00	DTLS	SBL
SN77H4Y	20	QA HOLD	8/27/2022 0:00	KDSD	Map
SN97T8R	1	QA HOLD	5/19/2022 0:00	UMXS	Map
SN30UAI	16	PIE HOLD	6/1/2022 0:00	KSDL	Map
SN97Z5A	18	DISPO	10/16/2022 0:00	SFSK	Map
SN97F81	8	DISPO	2/8/2022 0:00	KDSD	SBL
SN50DHX	7	QA HOLD	2/23/2022 0:00	KSDL	Map
SN57QH6	6	QA HOLD	3/13/2022 0:00	XLFU	SBL
SN23S8X	15	QA HOLD	2/26/2023 0:00	SLFU	SBL
SN73YDO	9	PE HOLD	2/15/2023 0:00	BLUD	SBL
SN29P9Z	4	DISPO	11/20/2022 0:00	SLFU	Map
SN74KAD	8	PIE HOLD	1/28/2023 0:00	IEKW	Map
SN47N8G	15	QA HOLD	4/23/2022 0:00	UFLU	SBL
SN17GG6	23	DISPO	12/24/2022 0:00	SLFU	Map
SN92UQE	22	PIE HOLD	3/6/2023 0:00	SFSK	Map
SN72R7E	2	PE HOLD	3/22/2023 0:00	DTLS	SBL
SN76XQM	19	PE HOLD	11/19/2022 0:00	KEKS	Map
SN41PQJ	2	PIE HOLD	8/31/2022 0:00	SFSK	SBL
SN72P72	15	DISPO	5/22/2023 0:00	KSDL	Map
SN32I4X	22	PE HOLD	5/18/2022 0:00	BLUD	SBL
SN67K6Q	6	PE HOLD	5/24/2022 0:00	KSLE	Map
SN23N7H	1	QA HOLD	10/31/2022 0:00	KDSD	Map
SN73Z9I	2	PIE HOLD	3/25/2022 0:00	UMXS	Map
SN39HDT	23	QA HOLD	1/14/2022 0:00	UX2M	Map
SN74EKJ	9	DISPO	12/2/2022 0:00	UMXS	Map
SN18AYG	23	PE HOLD	4/21/2023 0:00	BLUD	Map
SN96CBC	16	PIE HOLD	1/19/2022 0:00	SLFU	Map
SN63DC4	13	PE HOLD	6/18/2022 0:00	DTLS	Map
SN65FF1	18	DISPO	4/15/2023 0:00	KELK	SBL
SN39R0V	6	PIE HOLD	8/24/2022 0:00	SLFU	Map
SN17GVJ	14	QA HOLD	4/29/2023 0:00	UFLU	Map
SN14JN7	22	PE HOLD	4/30/2023 0:00	KDSD	SBL
SN73V17	9	PIE HOLD	12/5/2022 0:00	KELK	Map
SN86P1J	8	PIE HOLD	8/29/2022 0:00	KSLE	SBL
SN58A3H	12	PE HOLD	1/30/2023 0:00	DTLS	Map
SN53IOF	4	QA HOLD	8/27/2022 0:00	UFLU	Map
SN56X0Q	24	QA HOLD	6/10/2022 0:00	UX2M	SBL
SN32VFG	21	QA HOLD	5/17/2022 0:00	KSLE	SBL
SN58EQF	24	QA HOLD	1/9/2022 0:00	KSDL	Map
SN21RO4	16	PE HOLD	5/30/2022 0:00	UX2M	SBL
SN90Q0U	6	PIE HOLD	7/29/2022 0:00	SFSK	Map
